symbol	name	mf	oclID	oclCoordinates
Abu	2-Aminobutyric acid diradical	C4H7NO	dazHPBPOEgEInVZjcH@	!BJLtni|c|rDvN@Dc|rOp
Acet	Acetyl	C2H3O	gCaHDEeIi`@	!BbOrN@HbM
Acm	Acetamidomethyl	C3H6NO	d@	
Adao	Adamantyloxy	C10H15O		
Aib	alpha-Aminoisobutyric acid diradical	C4H7NO	dazHPBPOGgEInfZj@@	!BJLtni|c|rDvN@Ao|RGp
Ala	Alanine diradical	C3H5NO	gNyDBaxmqR[fZjZ@	!BJLtni|c|rDvN@Dc|
Arg	Arginine diradical	C6H12N4O	dkLhPBgSPOEgEInWUijjihr@@	!BJLtni|c|rDvN@Dc|rOqnpLc|[lB[Lc|
Argp	Arginine triradical	C6H11N4O	dglhpHpil@gWDEI[UYZfjji`T@	!BuSWK]^L[mWKV{_urw^_xAMu~t@mE]LKn|
Asn	Asparagine diradical	C4H6N2O2	deeDPBeACqYqR[ezZjZL`@	!BJLtni|c|rDvN@Dc|ROpnPDcM
Asnp	Asparagine triradical	C4H5N2O2	dmUDpH[E@IEqgqRVvVijjXi@@	!Bvrt{Bx@N~w^]xaMv~tHoEo|Kn\
Asp	Aspartic acid diradical	C4H5NO3	defLPBPYCqYqR[ezZjZL`@	!BJLtni|c|rDvN@Dc|ROpnPDcM
Aspp	Aspartic acid triradical	C4H4NO3	dmVLpFcE@IEqgqRVvVijjXi@@	!Bfru[Bx@Vzv^MxaMfztHoAm|Kn\
Asu	alpha-Aminosuberic acid diradical	C8H13NO3	dgnLPBP{CqYqR[euVfjjihr@@	!BJJtny|c|bDwN@@b|ROqn`Dc|[hAHFz@RJt
Asup	alpha-Aminosuberic acid triradical	C8H12NO3	do^LpEcG@IMqoqRVuUejZjjibT@	!Bvzw[Fx@vzunM}nm[c_[[YzwBDu[k_@|fpnEp
Boc	t-Butoxycarbonyl	C5H9O2	daxD`DpEeImjZj@@	!BbOqn@HambOrH[Vx@bOp
Bom	Benzyloxymethyl	C8H9O	deTH`DAYRUYTYj`@@@	!B@OP@[PCt@Et@}Fz@Ft@[Vz
Brz	2-Bromobenzyloxycarbonyl	C8H6BrO2	d@	
Bu	Butyl	C4H9	d@	
Bum	t-Butoxymethyl	C5H11O	gNqHDEeIVjj`@	!BbOrH[Xa|bFun@Mo|
Bz	Benzoyl	C7H5O	didH`DAYR[e^FX@@@@	!BbOrn@HbmbOrnUxbmbJvnUp
Bzl	Benzyl	C7H7	daD@`@VTeeVz`@@@	!B@OP@[PCtkm|@[PBmkm|
Bn	Benzyl	C7H7	daD@`@VTeeVz`@@@	!B@OP@[PCtkm|@[PBmkm|
Bzlo	Benzyloxy	C7H7O	didH`HAYRUe^Fh@@@@	!B@Jt@}@Am@ORnwpBm@Jvnwp
Cha	beta-Cyclohexylalanine diradical	C9H15NO		
Chxo	Cyclohexyloxy	C6H11O	daDH`HAYRVU[jjj@@	!B@OP@[PCtkm|@[PBmkm|
Cit	Citrulline diradical	C6H11N3O2	d@	
Citp	Citrulline triradical	C6H10N3O2		
Clz	2-Chlorobenzyloxycarbonyl	C8H6ClO2		
Cp	Cyclopentadienyl	C5H5		
Cys	Cysteine diradical	C3H5NOS	d@	
Cysp	Cysteine triradical	C3H4NOS		
D	Deuterium	[2H]	eFAAYhBLCEH@	!B@Mt
Dde	Dde	C10H13O2		
Dnp	2,4-Dinitrophenyl	C6H3N2O4		
Et	Ethyl	C2H5	eMBAYRZ@	!B@Fp@wP
Fmoc	Fluorenylmethoxycarbonyl	C15H11O2	d@	
For	Formyl	CHO		
Gln	Glutamine diradical	C5H8N2O2		
Glnp	Glutamine triradical	C5H7N2O2		
Glp	Pyroglutamine	C5H5NO2		
Glu	Glutamic acid diradical	C5H7NO3	dmVLPBRUCqYqR[evfjihr@@	!BJLtni|a|rDvN@Dc|RGpnPLa|zwp
Glup	Glutamic acid triradical	C5H6NO3		
Gly	Glycine diradical	C2H3NO	gGYDBaxuqR[Yj@@	!BPLtn{xCt`Dt@}@
Hci	Homocitrulline diradical	C7H13N3O2		
Hcip	Homocitrulline triradical	C7H12N3O2		
His	Histidine diradical	C6H7N3O		
Hisp	Histidine triradical	C6H6N3O		
Hser	Homoserine diradical	C4H7NO2		
Hserp	Homoserine triradical	C4H6NO2		
Hyp	Hydroxyproline diradical	C5H7NO2		
Hypp	Hydroxyproline triradical	C5H6NO2		
Ile	Isoleucine diradical	C6H11NO		
Ivdde	1-[4,4-dimethyl-2,6-dioxocyclohexylidene)-3-methylbutyl	C14H21O2		
Leu	Leucine diradical	C6H11NO		
Lys	Lysine diradical	C6H12N2O		
Lysp	Lysine triradical	C6H11N2O		
Mbh	4,4'-Dimethoxybenzhydryl	C15H15O2		
Me	Methyl	CH3		
Mebzl	4-Methylbenzyl	C8H9		
Meobzl	4-Methoxybenzyl	C8H9O		
Met	Methionine diradical	C5H9NOS		
Mmt	4-Methoxytrityl	C20H17O		
Mtc	2,2,5,7,8-pentamethylchroman-6-sulphonyl	C14H19O3S		
Mtr	4-Methoxy-2,3,6-trimethylbenzenesulphonyl	C10H13O3S		
Mts	Mesitylene-2-sulphonyl	C9H11O2S		
Mtt	4-Methyltrityl	C20H17		
Nle	Norleucine diradical	C6H11NO	defHPBPOEgEInWYjjhr@@	!BJLtni|a|rDvN@Dc|ROpnPLc|
Npys	3-Nitro-2-pyridinesulphenyl	C5H3N2O2S	d@	
Nva	Norvaline diradical	C5H9NO	diFHPBPOEgEInWfjjL`@	!BJLtni|c|rDvN@Dc|ROpnP@
Odmab	Odmab	C20H26NO3		
Orn	Ornithine diradical	C5H10N2O		
Ornp	Ornithine triradical	C5H9N2O		
Pbf	2,2,4,6,7-pentamethyldihydrobenzofurane-5-sulfonyl	C13H17O3S		
Pen	Penicillamine diradical	C5H9NOS	d@	
Penp	Penicillamine triradical	C5H8NOS		
